,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
143,Awake and Sing!,Belasco Theatre,241724.35714285713,44.73142857142857,0.6878999999999998,58.12745652076114,313994.6165998419,205.25000000000003,5.714285714285714,0.0
144,Aznavour,Marquis Theatre,332821.25,54.1925,0.649,82.75347959906341,508263.9579158947,174.7,5.75,0.0
145,Baby It's You!,Broadhurst Theatre,379653.9166666667,57.29833333333334,0.7758124999999999,68.0232926764837,450707.5134881679,224.73670833333335,6.166666666666667,0.0
146,Band in Berlin,Helen Hayes Theatre,76676.0,36.898,0.50586,56.04040349681652,116454.40114338286,175.66,3.4,0.0
147,Bandstand,Bernard B. Jacobs Theatre,539491.5396000001,83.11720000000001,0.831776,88.03479818767318,571331.7138365728,251.87783999999996,6.64,0.0
148,Barbara Cook's Broadway!,Vivian Beaumont Theater,109609.25,42.5225,0.8196249999999999,57.95971941113153,149398.02602400686,195.7,1.75,0.0
149,Barbara Cook: A Concert for the Theatre,Ambassador Theatre,46850.5,21.9575,0.279525,49.941613064791134,106559.92453111679,117.3,3.25,0.0
150,Barefoot in the Park,Cort Theatre,264785.5882352941,54.06117647058823,0.5564941176470588,70.57026472871345,345743.8128694662,204.4117647058824,6.411764705882353,0.0
151,Barrymore,Music Box Theatre,193134.5588235294,37.615,0.7027911764705883,59.166964195783144,303659.47341585933,169.60000000000005,6.9411764705882355,0.0
152,Basia on Broadway,Neil Simon Theatre,0.0,0.0,0.0,0.0,0.0,158.2,0.0,0.0
153,Be More Chill,Lyceum Theatre,546838.1726923079,92.80807692307692,0.8248846153846153,94.39601008883922,556280.4978963616,262.37884615384615,6.8076923076923075,0.0
154,Bea Arthur on Broadway,Booth Theatre,155988.81818181818,45.61818181818182,0.5404272727272728,64.31103217077231,219966.58459662748,189.25454545454548,5.909090909090909,0.0
155,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,872648.1677022647,117.0412621359224,0.9012381877022646,125.85985192160909,939565.672594488,249.41986731391577,7.792880258899676,0.0
156,Beauty and the Beast,Lunt-Fontanne Theatre,633630.7770034843,52.31181184668992,0.8716505226480833,83.61653938785118,1015597.5850999999,166.99268292682936,7.832752613240418,0.0
157,Beauty and the Beast,Lunt-Fontanne Theatre,613663.5856079404,59.52781637717124,0.8524888337468982,81.57372401673302,841256.2590689969,194.46057568238254,7.972704714640199,0.0024813895781637717
158,Beetlejuice,Winter Garden Theatre,1036038.2030612245,95.63734693877548,0.9264040816326529,96.42931756723522,1044051.261689404,264.4621836734695,7.26530612244898,0.0
159,Bells Are Ringing,Plymouth Theatre,271321.23076923075,50.27153846153846,0.6681461538461538,72.40031908707918,390851.84822718234,185.2384615384615,5.230769230769231,0.0
160,Benefactors,Brooks Atkinson Theatre,157661.9655172414,28.0451724137931,0.6543793103448274,66.48916093598744,374083.0199052812,112.55517241379312,7.482758620689655,0.0
161,Bengal Tiger at the Baghdad Zoo,Richard Rodgers Theatre,464107.1176470588,81.57411764705884,0.5598000000000001,97.11271947231289,552608.4739742705,224.12652941176475,6.352941176470588,0.0
162,Bernhardt/Hamlet,American Airlines Theatre,323852.89166666666,70.60083333333334,0.8427833333333332,72.72650987535577,333580.4833338438,258.9555,5.25,0.0
163,Betrayal,American Airlines Theatre,245879.4375,50.64,0.89385,73.66663236944086,357637.99548896274,183.38125,5.5625,0.0
164,Betrayal,Bernard B. Jacobs Theatre,657998.7352941176,102.24588235294118,0.8131941176470586,102.93151465803942,662350.1462811041,265.022705882353,6.411764705882353,0.0
165,Betrayal,Ethel Barrymore Theatre,1250101.2857142857,148.43071428571426,1.0,168.20938653993062,1416578.435527231,235.41971428571426,5.928571428571429,0.0
166,Big,Sam S. Shubert Theatre,360625.0740740741,42.200740740740734,0.7384407407407407,67.9605204356201,580932.5555074915,165.69259259259263,7.148148148148148,0.0
167,Big Deal,Broadway Theatre,227030.9,34.239,0.4946299999999999,80.78055045747092,535638.4856607381,113.08000000000001,6.9,0.0
168,Big Fish,Neil Simon Theatre,638717.2941176471,73.51529411764707,0.8021176470588235,83.38471267235144,724498.147399212,235.2185294117647,5.764705882352941,0.0
169,Big River,American Airlines Theatre,233555.75,46.653333333333336,0.8696166666666666,64.30337492871453,321903.5954504199,193.55833333333328,5.583333333333333,0.0
170,Big River,Eugene O'Neill Theatre,215984.375,32.81191666666667,0.8018483333333333,76.95364945176466,508077.3977348816,114.0416666666667,8.0,0.0
171,Bill Maher: Victory Begins at Home,Virginia Theatre,177953.66666666666,43.49666666666667,0.3995,60.15911448073268,246123.11300328324,192.9,5.333333333333333,0.0
